track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_year,duration_min,genres,record_label,danceability,energy,key_name,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id_1,artist_id,artist_name,artist_followers,artist_popularity
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"Camila Cabello,Young Thug",80,Camila,2018,3.62,Rap,Syco Music/Epic,76.5,52.3,D,-4.333,Major,3.0,18.4,0.0,13.2,39.4,105,4,1rfofaqEpACxVEHIZBJe6W,"[4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn]","[Camila Cabello,Young Thug]","[34041015,10727925]","[82,86]"
47EiUVwUp4C9fGccaPuUCS,DÁKITI,"Bad Bunny,JHAYCO",75,DÁKITI,2020,3.42,Rap,Rimas Entertainment LLC,73.1,57.3,E,-10.059,Minor,5.44,40.1,0.01,11.3,14.5,110,4,47EiUVwUp4C9fGccaPuUCS,"[4q3ewBCX7sLwd24euuV69X,6nVcHLIgY5pE2YCl8ubca1]","[Bad Bunny,JHAYCO]","[86916993,8189393]","[95,85]"
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,87,Hybrid Theory (Bonus Edition),1905,3.61,Rap,Warner Records,55.6,86.4,D#,-5.87,Minor,5.84,0.96,0.0,20.9,40.0,105,4,60a0Rd6pjrkxjPbaKzXjfq,[6XyY86QOPPrYVGvF9ch6wz],[Linkin Park],[27487288],[92]
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,84,2014 Forest Hills Drive,2014,4.88,Rap,Roc Nation Records LLC,69.0,52.1,A#,-8.492,Minor,33.9,32.4,0.0,5.34,49.4,100,4,68Dni7IE4VyPkTOH9mRWHr,[6l3HvQ5sa6mXTsMTB19rO5],[J. Cole],[24950425],[86]
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"French Montana,Swae Lee",85,Jungle Rules,2017,3.9,Rap,Bad Boy Entertainment/Epic Records,72.6,76.9,F#,-5.043,Major,12.3,2.93,1.01,10.4,73.3,98,4,3B54sVLJ402zGa6Xm4YGNe,"[6vXTefBL93Dj5IqAWq6OTv,1zNqQNIdeOUZHb8zbZRFMX]","[French Montana,Swae Lee]","[5565380,2390139]","[76,81]"
7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself,Eminem,69,SHADYXV,2014,5.34,Rap,3H,68.9,73.5,D,-4.545,Major,26.7,0.92,0.07,36.5,5.9,171,4,7MJQ9Nfxzh8LPZ9e9u68Fq,[7dGJo4pcD2V6oG8kP0tJRR],[Eminem],[92866300],[93]
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,86,The Eminem Show,2002,4.84,Rap,Aftermath,90.8,66.9,G,-2.827,Major,7.38,0.29,0.0,23.7,66.2,112,4,7lQ8MOhq6IN2w8EYcFNSUk,[7dGJo4pcD2V6oG8kP0tJRR],[Eminem],[92866300],[93]
4xkOaSrkexMciUUogZKVTS,Till I Collapse,"Eminem,Nate Dogg",82,The Eminem Show,2002,4.96,Rap,Aftermath,54.8,84.7,C#,-3.237,Major,18.6,6.22,0.0,8.16,10.0,171,4,4xkOaSrkexMciUUogZKVTS,"[7dGJo4pcD2V6oG8kP0tJRR,1Oa0bMld0A3u5OTYfMzp5h]","[Eminem,Nate Dogg]","[92866300,1750076]","[93,78]"
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",73,INDUSTRY BABY (feat. Jack Harlow),2021,3.53,Rap,Columbia,73.6,70.4,D#,-7.409,Minor,6.15,2.03,0.0,5.01,89.4,150,4,27NovPIUIRrOZoCHxABJwK,"[7jVv8c5Fj3E9VhNjxT4snq,2LIk90788K0zvyj2JJVwkJ]","[Lil Nas X,Jack Harlow]","[12410871,3957649]","[76,80]"
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,77,SOS,2022,2.57,Rap,Top Dawg Entertainment/RCA Records,64.4,72.8,G#,-5.75,Major,3.51,5.43,16.9,16.1,43.0,89,4,3OHfY25tqY28d16oZczHc8,[7tYKF4w9nC0nq9CsPZTHyP],[SZA],[24229902],[90]
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,85,Hot Fuss,1905,3.72,Rock,Island Records,35.2,91.1,C#,-5.23,Major,7.47,0.12,0.0,9.95,23.6,148,4,003vvx7Niy0yvhvHt4a68B,[0C0XlULifJtAgn6ZNCW2eu],[The Killers],[7543718],[79]
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,85,Escape (2022 Remaster),1981,4.16,Rock,Columbia/Legacy,50.5,75.4,E,-7.435,Major,3.66,13.2,0.0,20.4,51.0,119,4,5RKQ5NdjSh2QzD4MaunT91,[0rvjqX7ttXeg3mTy8Xscbt],[Journey],[5801781],[76]
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,Queen,71,Bohemian Rhapsody (The Original Soundtrack),2018,5.92,Rock,EMI,39.0,39.5,C,-9.966,Minor,5.01,28.8,0.0,20.7,24.7,144,4,3z8h0TU7ReDPLIbEnYhWZb,[1dfeR4HaWDbWqFHLkxsg1d],[Queen],[51861948],[86]
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,Queen,81,Jazz (2011 Remaster),1978,3.49,Rock,EMI,55.9,86.8,F,-5.276,Major,17.0,4.75,0.02,77.6,60.9,156,4,5T8EDUDqKcs6OSOwEsfqG7,[1dfeR4HaWDbWqFHLkxsg1d],[Queen],[51861948],[86]
4yBiZFLXn0n9AUJ5sWO88k,Wonderwall,Oasis,61,Upside Down: The Story Of Creation OST,2011,4.31,Rock,Sony Music UK,40.2,84.5,D,-6.459,Major,3.19,0.07,0.0,15.8,68.6,175,4,4yBiZFLXn0n9AUJ5sWO88k,[2DaxqgrOhkeH0fpeiQq2f4],[Oasis],[10864778],[81]
