track_id,track_name,track_album_name,track_artist,artist_gender,track_album_release_year,duration_min,track_popularity,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Playlist_year,artist_id,artist_name,artist_followers,artist_popularity
5MA0iU2dyAFwWUzfyrk2di,Persuasive,Persuasive,Doechii,F,2 022,3.61,50,R&B,Top Dawg Entertainment/Capitol Records,82.0,63.0,G,-5.83,minor,13.0,14.0,0.0,15.0,50.0,120,4,2022,[4E2rKHVDssGJm2SCDOMMJB],[Doechii],[656414],[76]
06tKb2aBA9sma7Sftu7kSw,keep lookin’ up,star-crossed,Kacey Musgraves,F,2 021,2.77,44,Folk,Kacey Musgraves,54.0,60.0,A,-8.85,minor,4.0,76.0,0.0,16.0,32.0,61,4,2022,[70kkdajctXSbqSMJbQO424],[Kacey Musgraves],[1497161],[77]
2km9fkIwupyw4puhwcYnCP,Do I Move You - Version II,Nina Simone Sings The Blues (Expanded Edition),Nina Simone,F,1 967,2.29,22,Jazz,RCA/Legacy,33.0,60.0,E,-7.37,minor,5.0,78.0,0.0,8.0,63.0,206,3,2022,[7G1GBhoKtEPnP86X2PvEYO],[Nina Simone],[2985353],[70]
1RDz34JJrGPn5msAXvnvoO,Found,For My Friends,Jacob Banks,M,2 021,3.26,46,R&B,Darkroom/Interscope Records,50.0,19.0,G#,-11.12,Major,3.0,79.0,0.0,16.0,23.0,61,4,2022,[0AepkoQhYvkjEzzwIcGxdV],[Jacob Banks],[548251],[59]
5NCbLiZLwjQV5SqkGqtHtA,More Than You Know,In A Sentimental Mood,Dr. John,M,1 989,4.67,14,Jazz,Rhino/Warner Records,36.0,14.0,A#,-18.6,Major,4.0,88.0,0.0,10.0,23.0,178,3,2022,[320TrJub4arztwXRm7kqVO],[Dr. John],[248275],[52]
2gLYOZVuyfmy3TS1ICVyaD,Nobody Knows Me,Lyle Lovett And His Large Band,Lyle Lovett,M,1 989,3.1,33,Rock,Curb Records,40.0,30.0,D,-9.0,Major,3.0,63.0,0.0,18.0,27.0,92,4,2022,[0zlJDQgqnr9AocrH9gs1Es],[Lyle Lovett],[214643],[53]
2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,The Master,Rakim,M,1 999,3.72,61,Hip Hop,Universal Records,84.0,48.0,D,-7.33,Major,33.0,5.0,0.0,6.0,84.0,96,4,2022,[3PyWEKLWI0vHPmoNrIX0QE],[Rakim],[933540],[59]
2UclV6Lu93Ssh1spktn0Fp,I Can't Get Next to You,Gets Next to You,Al Green,M,1 971,3.81,40,Soul/Funk/Motown,Fat Possum,77.0,36.0,C,-12.16,Major,7.0,19.0,0.0,8.0,55.0,113,3,2022,[3dkbV4qihUeMsqN4vBGg93],[Al Green],[2057145],[67]
2SIYttGoWnQ2FRlq6rTmkc,I Just Want to Thank You,The South Side of Soul Street: The Minaret Soul Singles 1967-1976,Big John Hamilton,M,2 013,2.54,0,Soul/Funk/Motown,Omnivore Recordings,69.0,26.0,A#,-12.21,Major,3.0,25.0,0.0,18.0,80.0,106,3,2022,[7c8hc2J2n5YQj6pmzs9RO9],[Big John Hamilton],[1441],[18]
4pdLyulbYLCrPmDzWWeJIZ,I've Been Loving You Too Long,Otis Blue: Otis Redding Sings Soul (Collector's Edition),Otis Redding,M,1 965,3.03,61,Soul/Funk/Motown,Rhino Atlantic,50.0,25.0,A,-12.81,Major,3.0,70.0,0.0,10.0,15.0,148,3,2022,[60df5JBRRPcnSpsIMxxwQm],[Otis Redding],[2331150],[72]
0QeI79sp1vS8L3JgpEO7mD,Let's Go Crazy,Purple Rain,Prince,M,1 984,4.67,20,Soul/Funk/Motown,Rhino/Warner Records,31.0,93.0,B,-6.4,Major,13.0,2.0,0.0,11.0,38.0,196,4,2022,[5a2EaR3hamoenG9rDuVn8j],[Prince],[7510983],[72]
63EUqnpcphhZh8SbXagArw,Many Times,Absolutely,Dijon,M,2 021,2.12,53,Soul/Funk/Motown,R&R Digital/Warner Records,75.0,87.0,G,-2.32,Major,10.0,17.0,0.0,27.0,71.0,130,4,2022,[0knGpCTbmG4ctl1wzYRZs4],[Dijon],[369522],[58]
7DCav3rL0B3A5Lp7CXcatN,Mighty Love,Mighty Love,The Spinners,M,1 974,3.28,34,Soul/Funk/Motown,Rhino Atlantic,82.0,63.0,G,-10.75,Major,5.0,59.0,0.0,48.0,72.0,110,4,2022,[5fbhwqYYh4YwUoEs582mq5],[The Spinners],[954720],[61]
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),Kind Of Blue (Legacy Edition),"Miles Davis,John Coltrane,Bill Evans",M,1 959,5.63,62,Jazz,Columbia/Legacy,42.0,2.0,D,-25.36,minor,4.0,81.0,0.0,10.0,15.0,110,4,2022,"[0kbYTNQb4Pb1rPbbaF0pT4,2hGh5VOeeqimQFxqXvfCUf,4jXfFzeP66Zy67HM2mvIIF]","[Miles Davis,John Coltrane,Bill Evans]","[2598467,1706046,716336]","[65,67,64]"
1YQWosTIljIvxAgHWTp7KP,Take Five,Time Out,The Dave Brubeck Quartet,M,1 959,5.4,67,Jazz,Columbia/Legacy,45.0,26.0,G#,-13.19,minor,4.0,54.0,0.0,7.0,60.0,174,5,2022,[4iRZAbYvBqnxrbs6K25aJ7],[The Dave Brubeck Quartet],[308727],[58]
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Born In The U.S.A.,Bruce Springsteen,M,1 984,4.02,82,Rock,Columbia,53.0,94.0,C#,-5.64,minor,4.0,1.0,0.0,19.0,50.0,149,4,2022,[3eqjTLE0HfPfh78zjh6TqT],[Bruce Springsteen],[6636282],[79]
07AjyDeE85pDr4Dj8BzgWB,I'm Shakin',Blunderbuss,Jack White,M,2 012,3.0,49,Rock,Third Man Records/Columbia,59.0,78.0,B,-10.05,minor,24.0,1.0,0.0,7.0,76.0,81,4,2022,[4FZ3j1oH43e7cukCALsCwf],[Jack White],[1371361],[60]
